Aolnsrvr.exe	Intel Server Manager
Apache.exe	Apache Webserver
AppSvc32.exe	!!! Symantec !!!
AppleMobileDeviceService.exe	Apple Mobile Device Service
ApplicationUpdater.exe	Application Updater
AquariumDesktop.exe	Stardock Aquarium Desktop
ArchService.exe	IS3 Satcom/Telecom Software
AsAlert.exe	BrightStor ARCserve Backup
AsrSrvc.Exe	AsrSrvc
AtService.exe	Fingerpint
AtSvc.Exe	NT Scheduling Service
Athan.exe	Islamasoft Prayer Time Calculator and Reminder
AtrsHost.exe	!!! Altiris !!!
AudiDllHost.exe	SC process
Auth8021x.exe	!!! CA Jinchen KILL / eTrust Antivirus !!!
AutoCfg.exe	Eudora AutoCfg Service
AutoPowerOn.exe	Auto Power-On & Shutdown 2.04
Autologon.exe	+++ Potential Admin/Analyst Tool +++
AutorunRemover.exe	PC Optimizer
Autoruns64.exe	+++ Potential Admin/Analyst Tool +++
AvastAvWrapper.exe	!!! Avast !!!
AvastSvc.exe	!!! Avast !!!
AvastUI.exe	!!! Avast GUI !!!
Avconsol.exe	!!! McAfee VirusScan Scheduler !!!
AvpM.exe	!!! Kaspersky !!!
Avsynmgr.exe	!!! McAfee VirusScan Synchronization Manager !!!
Avtask.exe	!!! Panda !!!
BAMService.exe	MSC BAM Services
BAS-AS.exe	Blackberry software
BAS-NCC.exe	Blackberry software
BBAttachMonitor.exe	Blackberry software
BBAttachServer.exe	BlackBerry software
BBConvert.exe	BlackBerry software
BBConvert.exe	BlackBerry software
BBConvert.exe	BlackBerry software
BBConvert.exe	BlackBerry software
BCResident.exe	BC Wipe
BCU.exe	DeviceVM Browser Configuration Utility
BCUService.exe	DeviceVM Browser Configuration Utility
BDARemote.exe	USB Video TV Device
BESAlert.exe	BlackBerry software
BJMyPrt.exe	Canon My Printer
BLACKD.exe	!!! Black Ice IDS !!!
BRAD32.EXE	Dr. Solomon Antivirus
BRMFRSMG.EXE	Brother Resource Manager
BRSVC01A.EXE	Brother Print Processor
BTTRAY.exe	Bluetooth Systray
BUGSFIX.EXE	??? Loveletter Virus Virus ???
BWMeterConSvc.exe	!!! BWMeter Bandwidth Monitor !!!
Babylon.exe	Babylon Translator
BackItUp.exe	Ahead Back It Up
BackLog.exe	InterSect Alliance SNARE BackLog Service
BackupNetworkCoordinator.exe	Novosoft Handy Backup
